size,CSF,density,settling,particle_type,velocity_goral,velocity_yu,velocity_dietrich
2.77511792309265e-05,0.1980725043426925,912.5357676250592,rising,fiber,-0.0003099940545804804,-2.394635327361202e-05,-1.350227772073085e-05
4.6960485968315446e-05,0.7149545295691596,981.8794296871235,rising,fragment,-1.884368873799619e-05,-1.958187072487476e-05,-1.759280228440582e-05
9.283525146782625e-05,0.6480340400418644,1391.7196285419625,settling,fragment,0.0013231012979707316,0.001623508349249364,0.0015310422005451393
0.0001469644394433,0.6554361227297412,911.5050847858572,rising,fragment,-0.0007506938102320728,-0.0009229784745097741,-0.0008745807550977924
3.073972245476764e-05,0.6060440574017235,973.1986903464378,rising,fragment,-1.0292135311811412e-05,-1.1860579753389485e-05,-1.003437727903053e-05
0.0002439810684057,0.1947206874126182,1560.4042435397705,settling,fiber,0.014011653319636294,0.009287994989333716,0.00571701023308634
3.1525571278761256e-05,0.5005113680887501,1028.654716956423,settling,fragment,1.1572153152615878e-05,1.2722730662901162e-05,1.0725929194326922e-05
2.7323734041227384e-05,0.3981708507844839,1424.8155544242493,settling,fragment,0.0001283506957002853,0.00013515090019963988,0.0001247869766291184
0.0043352377753018,0.5831525070163034,998.8731281946746,rising,fragment,-0.004290907024621908,-0.0044350583079961646,-0.003906887866375918
0.0004878719078743,0.7079333128320191,1235.9131409975998,settling,fragment,0.016878716114274675,0.016800396465270855,0.014417889960490251
0.0012876130252702,0.7402496193070425,918.8359107124788,rising,fragment,-0.026030840599275785,-0.02507977120294118,-0.02220965688553437
9.493957765431058e-05,0.4232458976733475,1067.760974641359,settling,fragment,0.0002447550789422268,0.00026581685707598494,0.0002563820677346207
2.249139848812236e-05,0.1235995477062168,1078.9010361447642,settling,fiber,0.00022651023253655032,1.256968519037123e-05,
2.6276064572137497e-05,0.4948303368112094,953.0635137122008,rising,fragment,-1.3168768262755054e-05,-1.4432643104956582e-05,-1.2099988238591529e-05
0.0031761825301429,0.5389552995040723,1143.408655613409,settling,fragment,0.06581417356061924,0.08636663320342633,0.06189140847115916
3.871630755999625e-05,0.5396533450544142,1334.792452383889,settling,fragment,0.0002024705842449243,0.00023144511908954694,0.00022796085696178678
2.1011356683543377e-05,0.2471492129735869,1111.936392178974,settling,fragment,2.0077451028553113e-05,1.8518677751939696e-05,1.2128954296852113e-05
0.0001139366582523,0.679767418424911,1003.4678036007728,settling,fragment,1.9156843103568938e-05,2.187953955374262e-05,2.07696451768027e-05
5.85236911137476e-05,0.3952681820932497,1765.6415887739715,settling,fragment,0.0010400328857447696,0.0011208078170287209,0.0010508361581288276
3.3465402469831204e-05,0.1956743608749455,1219.5373659399995,settling,fiber,0.0007409153725620928,8.770269868592497e-05,5.408098189654094e-05
0.0002594028649952,0.3096152387333141,1037.743934940636,settling,fragment,0.0009771897965566963,0.0010003159847368345,0.0008383473031903952
2.19926106677884e-05,0.1081850154790537,1062.1353037266592,settling,fiber,0.00018614600154076555,9.141867030932086e-06,
0.0001000460395043,0.2902606995285518,1016.9166522006656,settling,fragment,6.83560568411964e-05,6.684318352079831e-05,5.687528046097502e-05
2.1243484173767763e-05,0.2159858226344532,1278.6740895869054,settling,fragment,5.1030851173541945e-05,4.5759885253636834e-05,2.909867418192408e-05
0.0001611186489133,0.7028957008268032,907.1357556484126,rising,fragment,-0.00105317070222052,-0.0011794037303711415,-0.0010999014938189162
7.744394347785847e-05,0.3295393695825124,983.1603214182765,rising,fragment,-4.08844507668706e-05,-4.103211658995247e-05,-3.567534715729125e-05
3.0007347835317104e-05,0.0327018538265546,885.2690357859375,rising,fiber,-0.00041146004521358363,-2.346360203511426e-05,
0.0005927933360931,0.2485519648993821,854.069966484045,rising,fragment,-0.013605614405203189,-0.011521804232203458,-0.00882298971662413
7.637887971954564e-05,0.5553071149028226,899.4243197325728,rising,fragment,-0.0002355852961620356,-0.000273181598596539,-0.0002708337006495792
0.0008070050053736,0.6881550286135782,1150.6865433711769,settling,fragment,0.021850453412827507,0.02228840571064168,0.019581510376383317
7.779402204377395e-05,0.3832821828091212,1147.171116681862,settling,fragment,0.0003563797946098818,0.0003782034689671676,0.0003575492717265876
0.0002566032704183,0.0313745416257775,972.643810771072,rising,fiber,-0.0017170299351694015,-0.0004037773749035627,
2.089996785854947e-05,0.3518809963021129,1346.4973553749314,settling,fragment,6.139713259378493e-05,6.226506500639362e-05,5.2768849571944106e-05
3.5457049829829786e-05,0.6072485551449855,1125.3513052005455,settling,fragment,6.385137137813156e-05,7.449054870113207e-05,7.099969815718536e-05
6.109278139680328e-05,0.6233525587501385,1213.288884721074,settling,fragment,0.0003194470072496393,0.0003815721573697331,0.0003788368926243266
2.9901184452792365e-05,0.0839119055907098,1147.4457607651475,settling,fiber,0.0004902201578898147,3.793478096626548e-05,
2.789275611703133e-05,0.430295575534326,1277.4669477969287,settling,fragment,8.744802637506705e-05,9.364812361257384e-05,8.657533596253514e-05
2.059135650273836e-05,0.5546819802398535,901.6461212600844,rising,fragment,-1.6946182831928108e-05,-1.9111270879373457e-05,-1.6222542463656817e-05
0.0002572249303015,0.4035628561011716,976.2146922738503,rising,fragment,-0.0006133785452060505,-0.0006697434667138931,-0.0006083232468557146
0.0003561722699957,0.1067360586051712,988.078682549682,rising,fiber,-0.0013799174164732988,-0.00045885985843932363,
0.0001629920043974,0.2424188738528633,1666.5892674845986,settling,fragment,0.006358522344037528,0.005999186150346864,0.00434262967359328
0.0014290148129037,0.1395412591357265,978.7681923957788,rising,fiber,-0.01019697094414922,-0.007051148150560301,
4.388331804261668e-05,0.2794721093520844,1268.1730371464637,settling,fragment,0.00020820560165017937,0.00020215249114671153,0.00017041385127697985
